Ticker,Action,Shares,Price,DollarAmount
NVDA,BUY,7,190.47979736328125,1333.3585815429688
AAPL,BUY,4,274.114990234375,1096.4599609375
MSFT,BUY,2,510.989990234375,1021.97998046875
AVGO,BUY,2,343.43341064453125,686.8668212890625
AMZN,BUY,3,235.6999969482422,707.0999908447266
GOOGL,BUY,1,277.7349853515625,277.7349853515625
TSLA,BUY,1,409.3599853515625,409.3599853515625
GOOG,BUY,1,278.2799987792969,278.2799987792969
AMD,BUY,1,249.3699951171875,249.3699951171875
PLTR,BUY,1,176.19000244140625,176.19000244140625
CSCO,BUY,2,78.53500366210938,157.07000732421875
INTC,BUY,3,35.78419876098633,107.35259628295898
